hotelName,cityName,stars,price,countryName,address
Seabreeze Resort,Upolu,3.5,256,Samoa,Paradise Cove Aufaga
Princess Tui Inn Apia,Apia,2,99999,Samoa,1 Vaiala Beach Road PO Box 9590
Hosteria Las Lengas - Tierra del Fuego,Tierra del Fuego,2.5,99999,Chile,Lago Blanco
Hosteria Les Eclaireurs,Ushuaia,3,49,Argentina,Staiyakin 2676
Hosteria Valle Frio,Ushuaia,3,76,Argentina,Hipólito Bouchard 310
La Posta Hostel,Ushuaia,1,20,Argentina,Peron Sur 864
Tango B&B Ushuaia,Ushuaia,3,94,Argentina,Gobernador Valdez 950
Casa Azul Familia Patagonica,El Calafate,1,54,Argentina,Calle 84 N 3056
Design Suites Calafate,El Calafate,4,101,Argentina,Calle 94 Numero 190
Hosteria Lago Tyndall,Torres del Paine,3,99999,Chile,SECTOR RIO SERRANO S/N
Las Avutardas Hosteria,El Calafate,1,64,Argentina,Av Del Libertador 1737
Los Ponchos Apart Boutique,El Calafate,3,98,Argentina,Los Alamos 3321 - Manantiales
Sierra Nevada Hotel El Calafate,El Calafate,3,88,Argentina,Av. del Libertador 1888
Estancia La Estela,Charles Fuhr,1,99999,Argentina,Ruta Nac. 40 y Paso del Río La Leona Lago Viedma
Hacienda Tres Lagos Hotel Puerto Guadal,Puerto Guadal,4,99999,Chile,Carretera Austral km 274
Timber Tops Motor Park and Camping Ground Invercargill,Invercargill,3,99999,New Zealand,209 Tweed Street
Cabanas Ayelen,Puerto Aisen,1,95,Chile,Hernán Muñoz Torres Nº 655
Hotel Y Cabañas Patagonia Green,Puerto Aisen,4,190,Chile,Avenida Lago Riesco 350
Alpine Village,Queenstown,2,99999,New Zealand,643 Frankton Road
Bella Vista Queenstown,Queenstown,4,93,New Zealand,36 Robins Road
Browns Boutique Hotel,Queenstown,4,221,New Zealand,26 Isle Street
Central Ridge Boutique Hotel,Queenstown,5,175,New Zealand,4 Sydney Street
Heritage Queenstown,Queenstown,4,99,New Zealand,91 Fernhill Road
Matakauri Lodge Queenstown,Queenstown,5,1058,New Zealand,569 Glenorchy Road
Sherwood Manor Hotel,Queenstown,3,65,New Zealand,554 Franktown Road
Cromwell Motel,Cromwell,3,86,New Zealand,Corner Gair & Barry Avenue
Abbey Lodge Dunedin,Dunedin,3,99999,New Zealand,900 Cumberland Street
Dunedin & Academy Court Motels,Dunedin,4,90,New Zealand,624 George Street
Kaimata Retreat,Dunedin,4,99999,New Zealand,297 Cape Saunders Road Papanui Inlet RD2 Portobello
Leithview,Dunedin,3,90,New Zealand,234 Malvern Street Glenleith
Leviathan Heritage Hotel,Dunedin,2,77,New Zealand,27 Queens Gardens
Mandeno House,Dunedin,2.5,99999,New Zealand,667 George Street
Arrowfield Apartments Arrowtown,Arrowtown,5,167,New Zealand,115 Essex Avenue Butel Park
Arrowtown House Boutique Hotel,Arrowtown,4,398,New Zealand,10 Caernarvon Street
The Canyons Lodge,Queenstown,4,328,New Zealand,13 Watties Track
Websters on Wanaka Lodge,Wanaka,5,113,New Zealand,137 Anderson Rd
The Residence,Lake Tekapo,4,196,New Zealand,1 Beauchamp Place
Arjuna Ridge Retreat,Kettering (Australia),4,99999,Australia,72 Warremar Way
Woodbridge Hill Hideaway,Woodbridge (Australia),4,256,Australia,369 Woodbridge Hill Road
Heartland World Heritage Hotel,Haast,3,78,New Zealand,Corner State Highway 6 and Jacksons Bay Road
Terrace Motel,Franz Josef,4,116,New Zealand,Cowan Street
Snow Denn Lodge,Methven,3,99999,New Zealand,Corner Bank & McMillan Streets
Abbey Motor Lodge,Christchurch,3,77,New Zealand,209 Bealey Avenue
Airport Christchurch Luxury Motel & Apartments,Christchurch,4,129,New Zealand,55 Roydvale Avenue
Akaroa Village Inn,Christchurch,4,99999,New Zealand,81 Beach Road Akaroa
All Seasons Christchurch,Christchurch,3,99999,New Zealand,72 Papanui Road
Amross Court Motor Lodge,Christchurch,4,109,New Zealand,61 Bealey Avenue
BEST WESTERN Clyde on Riccarton,Christchurch,3.5,131,New Zealand,280 Riccarton Road
City Centre Motel Christchurch,Christchurch,4,110,New Zealand,876 Colombo Street
Flag Hotel Camelot Cathedral Square,Christchurch,3,99999,New Zealand,66 Cathedral Square
Huntley House,Christchurch,5,242,New Zealand,67 Yaldhurst Road
Poplars Apartment Christchurch,Christchurch,4.5,99999,New Zealand,Corner Madras and Chester Streets
Purple-Der House Accommodation,Christchurch,3,50,New Zealand,148 Palmers Road
Curringa Farm,Hamilton (Tasmania),4,200,Australia,5831 Lyell Highway
Fountainside Hotel,Hobart,4,117,Australia,40 Brooker Avenue
Hobart Gables Apartments,Hobart,4,158,Australia,Units 1 & 2 2 Stoke Street TAS 7008
Lindisfarne Motor Inn,Hobart,3,60,Australia,101-105 East Derwent Highway Lindisfarne TAS 7015 Australia
Martin Cash Motel Hobart,Hobart,3,93,Australia,238 Main Road Glenorchy
Motel 429 Hobart,Hobart,4,108,Australia,429 Sandy Bay Road
Salamanca Terraces,Hobart,4,176,Australia,93 Salamanca Place
Taras Richmond Farmstay,Richmond (Tasmania),3,133,Australia,31 Ogilvie Lane
Tynwald Willow Bend Estate,New Norfolk,4,148,Australia,1 Tynwald Road
Awatuna Homestead,Hokitika,4,211,New Zealand,9 Stafford Road
Charles Court Motel,Greymouth,4,77,New Zealand,350 Main South Road
Hanmer Inn Motel,Hanmer Springs,4,110,New Zealand,16 Jacks Pass Road
Heritage Hanmer Springs,Hanmer Springs,4,116,New Zealand,1 Conical Hill Road
Bella Vista Motel Kaikoura,Kaikoura,4,96,New Zealand,45-47 Churchill St.
Kaikoura Boutique Hotel,Kaikoura,4,109,New Zealand,146 Esplande
Kaikoura Gateway Motor Lodge,Kaikoura,4,113,New Zealand,16-18 Churchill Street State Highway 1
The Factory,Kaikoura,5,99999,New Zealand,5 Hapuku Rd
The Old Convent Bed & Breakfast Kaikoura,Kaikoura,2,99999,New Zealand,278 Mt Fyffe Road
Hostal Tren del Sur,Puerto Montt,3,57,Chile,Santa Teresa 643
460 Loft,San Carlos de Bariloche,1.5,99999,Argentina,San Martin 460
Apart Hotel El Viejo Cipres San Carlos de Bariloche,San Carlos de Bariloche,2,54,Argentina,Av. Bustillo 6.346 - Ruta al LLao Llao
Bungalows Prema Apart San Carlos de Bariloche,San Carlos de Bariloche,3,99999,Argentina,Lagos Del Sur 380
Cabañas Villa Sofía San Carlos de Bariloche,San Carlos de Bariloche,3,51,Argentina,Av. de los Pioneros 100
Hosteria Nuevo Pinar,San Carlos de Bariloche,3,42,Argentina,E. Bustillo 7810
Hotel Bariloche San Carlos de Bariloche,San Carlos de Bariloche,1,58,Argentina,Quaglia 338
Punta Condor Hotel San Carlos de Bariloche,San Carlos de Bariloche,3,99999,Argentina,Acceso A Cerro Catedral
Bischoff Hotel Waratah,Waratah,3,99999,Australia,20 Main Street
Cradle Mountain Chateau,Cradle Mountain,4,152,Australia,Cradle Mountain Road
Cradle Mountain Lodge,Cradle Mountain,4,206,Australia,4038 Cradle Mountain Road
Cradle Chalet Boutique Luxury Lodge Wilmot (Australia),Moina,4.5,148,Australia,1422 Cradle Mountain Road
Hawley House Hotel Port Sorell,Port Sorell,4,272,Australia,68 Esplanade Hawley Beach
Shearwater Cottages Port Sorell,Port Sorell,4,119,Australia,9 Shearwater Boulevade
Fionas Bed and Breakfast - Launceston B&B,Launceston,4,91,Australia,141a George Street Launceston 7250 TAS
Hargate,Launceston,5,99999,Australia,191 George Street Launceston Tasmania 7250
Launceston View Apartments,Launceston,4,122,Australia,2 Hillside Cres cnr Hillside cres and Canning street
The Ocean Retreat Tasmania,Falmouth (Australia),4,99999,Australia,25C Morrison Street
Black & White Hotel Westport,Westport,2,99999,New Zealand,198 Palmerston Street
Charming Creek Bed and Breakfast,Westport,4.5,109,New Zealand,24 Main Road
Riverview Lodge Westport,Westport,4,99999,New Zealand,State Highway 6 Lower Buller Gorge
Arthur Wakefield Motor Inn,Nelson,3,99999,New Zealand,294 Queen Street
Asure Sundowner Motel,Blenheim,4,108,New Zealand,132 Middle Renwick Road
California House Inn Nelson,Nelson,4,99999,New Zealand,29 Collingwood Street
Hat Trick Lodge Backpackers Hostel,Motueka,3,99999,New Zealand,25 Wallace Street
Olde Millhouse B & B,Renwick,4,99999,New Zealand,9 Wilson Street
Timara Lodge,Blenheim,5,99999,New Zealand,Dog Point Road
Tuscany Gardens Motor Lodge,Nelson,4,110,New Zealand,80 Tahunanui Drive
Escape to Picton Boutique Hotel,Picton (New Zealand),5,240,New Zealand,33 Wellington Street
Complejo Aspen,San Martin de los Andes,2,99999,Argentina,Coronel Pérez 1127
Hosteria Hueney Ruca,San Martin de los Andes,2,59,Argentina,Gabriel Obeid 697 Esq.Teniente Coronel Perez
Hotel Antiguos,San Martin de los Andes,3,59,Argentina,Coronel diaz 753
Las Ramblas de Puerto Manzano,Villa La Angostura,4,138,Argentina,Ruta 231 Km. 55.5 Puerto Manzano
Rucaleufu Apart-Hotel,San Martin de los Andes,2,84,Argentina,El Oasis 220
Rosebank Cottage Collection Smithton,Smithton,4,154,Australia,46 Brooks Road
Tall Timbers Hotel Smithton,Smithton,4,132,Australia,5 Scotchtown Road
Sans Souci Inn,Takaka,2,99999,New Zealand,11 Richmond Road
Beachfront Kapiti Bed & Breakfast Paraparaumu,Paraparaumu,2,99999,New Zealand,Paraparaumu 71 Manly Street
Colonial Court Motel Palmerston North,Palmerston North,4,93,New Zealand,305 Fitzherbert Avenue
Hotel Salto Del Carileufu,Pucon,3,99999,Chile,km 19 Camino
Munich Hotel,Pucon,3,99999,Chile,Geronimo De Alderete 275
Oakura Beach Motel,Oakura,3,93,New Zealand,53 Wairau Road Oakura
93 By the Sea,New Plymouth,2.5,99999,New Zealand,93 Buller Street
Fitzroy Beach Motel,New Plymouth,4,131,New Zealand,25 Beach Street Fitzroy
Issey Manor Fine Accommodation,New Plymouth,4,99999,New Zealand,32 Carrington Street
Nice Hotel & Bistro,New Plymouth,4,226,New Zealand,71 Brougham Street
Pukekura Motor Lodge,New Plymouth,5,119,New Zealand,141 Coronation Avenue
Skotel Alpine Resort,Whakapapa,3,53,New Zealand,Tongariro National Park
Marineland Motels,Napier,4,81,New Zealand,19 Meeanee Quay
Scenic Hotel Te Pania,Napier,4,123,New Zealand,45 Marine Parade
Hotel Bayern,Temuco,3,85,Chile,Avenida Arturo Prat 146
Hotel Don Eduardo,Temuco,3,92,Chile,Andres Bello 755
La Frontera Hotel,Temuco,4,122,Chile,Bulnes 733 Temuco
Valle Perdido Wine Resort,Neuquen,5,99999,Argentina,Ruta Provincial 7 - Picada 6
Apart Hotel Maison,Mar Del Plata,3,104,Argentina,Belgrano 2143
Hotel Benedetti,Mar Del Plata,3,99999,Argentina,Avenida Colon 2198
Nuevo Hotel Roma,Mar Del Plata,1,17,Argentina,Castelli 2138
Comfort Inn On Raglan,Warrnambool,4,146,Australia,349 Raglan Parade
Hopkins House Motel and Apartments,Warrnambool,4,138,Australia,Corner of Mortlake Road (Hopkins Highway) and Whites Road
Beacon Point Ocean View Villas,Apollo Bay,4,154,Australia,270 Skenes Creek Road
BEST WESTERN Apollo Bay Motel and Apartments,Apollo Bay,3,153,Australia,2 Moore Street
Lornebeach Apartments,Lorne,4.5,240,Australia,128 Mountjoy Parade
The Sandridge,Lorne,3,118,Australia,128 Mountjoy Parade Lorne VIC 3232 Australia
BEST WESTERN Admiralty Motor Inn,Geelong,3,119,Australia,66 Mckillop Street
Eldorado Tourist Park,Batesford,3.5,99999,Australia,360 Ballarat Road
Four Points by Sheraton Geelong,Geelong,4.5,164,Australia,10-14 Eastern Beach Road
Gatehouse on Ryrie,Geelong,3,87,Australia,83 Yarra Street
Spectacular Views,Melbourne,3,99999,Australia,44 St. Andrews Drive
Torquay Holiday Park,Torquay (Australia),4,65,Australia,55 Surfcoast Highway
Truemans Cottage Melbourne,Melbourne,4.5,99999,Australia,59 Truemans Road Rosebud
Big4 Frankston Holiday Park,Melbourne,4,99999,Australia,2 Robinson Road (Cnr Frankston-Flinders & Robinsons Rds) Frankston
Cowes Caravan Park Phillip Island,Phillip Island,4,82,Australia,164 Church Street Cowes
Koala Park Resort,Phillip Island,2.5,99999,Australia,1825 Phillip Island Road
Caves Motor Inn,Waitomo Caves,3,93,New Zealand,728 State Highway 3
Panorama Motor Inn,Te Kuiti,4,93,New Zealand,59 Awakino Road
Settlers Motel,Turangi,3,77,New Zealand,24 Arahori Street
Waitomo Lodge Te Kuiti,Te Kuiti,4,105,New Zealand,State Hwy 3
Accent on Taupo Motor Lodge,Taupo,4,89,New Zealand,310 Lake Terrace
Bay Court Motel,Taupo,3,99999,New Zealand,104 Lake Terrace
Birchwood Spa Motel,Rotorua,4,90,New Zealand,6 Sala Street
Holiday Inn Rotorua,Rotorua,4,95,New Zealand,10 Tryon Street
Pounamu Lodge,Rotorua,3.5,99999,New Zealand,51 Spencer Road RD 5 Lake Tarawera
Quest Rotorua,Rotorua,4,93,New Zealand,7 Tryon Street Whakarewarewa
Santa Maria Motel,Rotorua,3,72,New Zealand,270 Te Ngae Road
Taupo DeBretts Spa Resort,Taupo,5,86,New Zealand,Napier Taupo Highway SH5
Twin Peaks Lakeside Inn,Taupo,3.5,102,New Zealand,76-80 Lake Terrace
Walkers Homestay B&B,Rotorua,1,99999,New Zealand,13 Glenfield Road
Yeoman Homestay Hotel Taupo,Taupo,1,99999,New Zealand,61 Puriri Street
Beachcomber Motel Gisborne,Gisborne,3,93,New Zealand,73 Salisbury Road
Gran Hotel Panamericano Mar del Plata,Mar Del Plata,3,73,Argentina,Hipolito Yrigoyen 1683
Terrazas Del Bosque,Mar de las Pampas,4,99999,Argentina,Los Andes Y Limay
San Remo Palace Hotel,Villa Gesell,3,76,Argentina,La Alameda 203 Numero 22
San Remo Villa Corral Aparts,Carilo,4,104,Argentina,Avellano y Becasina
Comfort Inn Sovereign Hill,Ballarat,3.5,146,Australia,Magpie Street
65 Main,Hepburn Springs,4,202,Australia,65 Main Rd
BEST WESTERN Airport Motel & Convention Centre,Melbourne,4,115,Australia,33 Ardlie Street
Best Western Alexander Motor Inn & Apartments,Melbourne,3,92,Australia,980 Mt Alexander Road
Central Springs Inn,Daylesford,4,117,Australia,6 Camp Street
City West Serviced Apartments Melbourne,Melbourne,4,99999,Australia,160 Cecil Street
Hiigh Apartments,Melbourne,4,161,Australia,153B High Street Prahran
Kestrel Motor Inn Kilmore,Kilmore,3,99999,Australia,99 Powlett Street
Knightsbridge Apartments,Melbourne,3,98,Australia,101 George Street
Lake House,Daylesford,4,99999,Australia,4 King Street
Middle Park Hotel Melbourne,Melbourne,4,117,Australia,102 Canterbury Road
Pint On Punt Hostel Melbourne,Melbourne,3,99999,Australia,42 Punt Road Windsor
Quality Hotel Melbourne Airport,Melbourne,3,153,Australia,265 Mickleham Road Tullamarine
Quest Clocktower on Lygon Apartments Melbourne,Melbourne,4,182,Australia,255 Drummond Street Carlton Melbourne VIC 3053
Redan Apartments,Melbourne,3,95,Australia,25 Redan Street St Kilda
Rendezvous Hotel Melbourne,Melbourne,4,129,Australia,328 Flinders Street
Royce Hotel,Melbourne,5,147,Australia,379 St Kilda Road
Sunshine Motor Inn,Melbourne,3,110,Australia,608 Ballarat Road (Western Hwy)
The Nunnery,Melbourne,1,99999,Australia,116 Nicholson Street
Comfort Inn Coach & Bushmans,Seymour,3.5,139,Australia,66 Emily Street
Como Cottage Accommodation,Melbourne,3,190,Australia,1465 Mt Dandnong Tourist Road
Dandenong Motel Melbourne,Melbourne,3,99999,Australia,147 Princes Highway Dandenong
Glen Harrow,Melbourne,4.5,99999,Australia,Old Monbulk Road Belgrave
Glen Inn,Melbourne,3,106,Australia,605 Ferntree Gully Road
Healesville Apartments,Melbourne,4,147,Australia,18 Symon Street
PuntHill Knox,Melbourne,4,139,Australia,337 Stud Road Knox
Quest On Doncaster Apartments Melbourne,Melbourne,3.5,139,Australia,855 Doncaster Road Doncaster
Toorak Manor - a Quality Inn,Melbourne,4,107,Australia,220 Williams Road Toorak
Yarra Glenn Bed and Breakfast,Melbourne,2,114,Australia,112 Yarra Glen Road
Ski Club Of Victoria Lodges Mount Buller,Mount Buller,3.5,99999,Australia,195 New Summit Road
Bellevue on the Lakes,Lakes Entrance,4,166,Australia,201 Esplanade
BEST WESTERN Coachmans Rest Motor Inn,Eden,3,113,Australia,81 Princes Highway
Castaways,Waiuku,5,175,New Zealand,685 Karioitahi Beach Road
Four Elements Raglan,Raglan,5,99999,New Zealand,90 Upper Wainui Road RD3
Anglesea Motel & Conference Centre,Hamilton,4,92,New Zealand,36 Liverpool Street
Grand Mercure Puka Park Resort,Pauanui,4,195,New Zealand,Mount Avenue
Novotel Hamilton Tainui,Hamilton,4,92,New Zealand,7 Alma Street
Park View Motor Lodge Hamilton,Hamilton,5,105,New Zealand,450 Tristram Street
The Commercial Hotel Accommodation,Hamilton,3,67,New Zealand,287 Victoria Street | Corner Victoria St. and Collingwood St.
Academy Motor Inn,Tauranga,4.5,99999,New Zealand,734 Cameron Road
The Sebel Trinity Wharf Tauranga,Tauranga,4,133,New Zealand,51 Dive Crescent
Alborada Hotel,Concepcion,4,101,Chile,Barros Arana 457
Gran Hotel Fontainebleau,San Clemente del Tuyu,4,75,Argentina,Calle 3 Nro 2290 Esquina Avda Costanera
Comfort Inn William Macintosh,Naracoorte,3.5,118,Australia,Adelaide Road
Barclay On View Motor Inn,Bendigo,4,133,Australia,181 View St Victoria 3550
BEST WESTERN Crystal Inn,Bendigo,4,106,Australia,233-235 McIvor Highway
Langley Hall Bed & Breakfast Bendigo,Bendigo,4.5,99999,Australia,484 Napier Street Victoria 3550
McIvor Motor Inn & Lotus Convention Centre,Bendigo,3,111,Australia,45 McIvor Road Bendigo VIC 3550
Perricoota Vines Retreat,Moama,4.5,138,Australia,400 Pericoota Road
Quest Echuca,Echuca,4,127,Australia,25-29 Heygarth Street
Welcome Stranger Motel,Bendigo,3.5,99999,Australia,56 MacKenzie Street West VIC 3555
Arcadia Motor Inn,Corowa,3,118,Australia,127 Federation Avenue
Australia Park Motel,Albury,3,113,Australia,Wodonga Place
Best Western Heritage Motor Inn Corowa,Corowa,4,132,Australia,25 Edward Street
BEST WESTERN Stagecoach Motel,Wodonga,3,123,Australia,188 Melbourne Road
Big 4 Bright,Bright,4,99999,Australia,1-11 Mountbatten Avenue
Golden Heritage Motor Inn & Cottages,Beechworth,4,128,Australia,Bonaira Street
Westwood Lodge Bright,Bright,4,139,Australia,8 Wood Street
Snowy Valley Resort,Jindabyne,3,407,Australia,Kosciusko Road
Pelican Motor Inn,Merimbula,3,102,Australia,18 Merimbula Drive
Green Gables Bed and Breakfast,Tilba Tilba,4,99999,Australia,269 Corkhill Drive
All Seasons Auckland,Auckland,3,50,New Zealand,20 Wyndham Street
Auckland Airport Kiwi Motel,Manukau City,3,46,New Zealand,144 McKenzie Road Mangere
Bavaria Bed & Breakfast Hotel,Auckland,3,86,New Zealand,83 Valley Road
BEST WESTERN BKs Pioneer Motor Lodge,Manukau City,4,84,New Zealand,205 Kirkbride Road
Bianco off Queen,Auckland,4,70,New Zealand,2 White Street
Formosa Golf Resort Manukau City,Manukau City,4,99999,New Zealand,110 Jack Lachlan Drive Beachlands
Hobson Motor Inn & Wings,Waitakere,3.5,89,New Zealand,327 Hobsonville Road
Kingsgate Hotel Parnell,Auckland,3,62,New Zealand,92-102 Gladstone Road
Manukau Motor Lodge,Manukau City,4,123,New Zealand,631 Great South Road
Millars Epsom Homestay,Auckland,3,99999,New Zealand,10 Ngaroma Road
Off Broadway,Auckland,4,118,New Zealand,11 Alpers Avenue Newmarket
Rendezvous Hotel Auckland,Auckland,4,86,New Zealand,Corner Mayoral Drive and Vincent Street
Auckland,Auckland,3,118,New Zealand,50 Crescent Road East Palm Beach
Beachfront Resort,Whitianga,4,142,New Zealand,113 Buffalo Beach Road
Enclosure Bay,Auckland,4,264,New Zealand,9 Great Barrier Road
Kutralwe,Los Molles,2,99999,Argentina,Ruta 222
Dolphin Lodge Albany,Albany,3,100,Australia,32 Adelaide Cresent Middleton Beach Albany
Grand Mercure The Links Vacation Club Apartments Normanville,Normanville,4,99999,Australia,1 St Andrews Boulevard
Mclaren Vale Studio Apartments,Adelaide,4,207,Australia,222 Main St. PO Box 852 McLaren Vale
Rivergum Holiday Retreat Corowa,Corowa,4,99999,Australia,386 Honour Avenue
Jolly Swagman Motor Inn,Holbrook (Australia),3.5,128,Australia,46 Albury Street
Quest Wagga Wagga,Wagga Wagga,4.5,152,Australia,69 Gurwood Street
Airport International Motel,Queanbeyan,4,122,Australia,57-73 Yass Road
BEST WESTERN Motel Monaro,Canberra,3,160,Australia,27 Dawes Street Kingston
Canberra City Gateway Motel,Canberra,3,99999,Australia,Cnr Northbourne and Mouat
Canberra Waldorf Apartments Hotel,Canberra,4,148,Australia,2 Akuna Street
City Walk Hotel,Canberra,3,99999,Australia,2 Mort St.(G.P.O.Box3037)
Medina Executive James Court,Canberra,4,136,Australia,74 Northbourne Avenue
